trace_id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,f1_cold_start,f2_cold_start
1-61d6cc93-07eb9fa1612c1bc57662f1dd,2022-01-06 12:03:48.176000,2022-01-06 12:03:48.199000,2022-01-06 12:03:48.207473,2022-01-06 12:03:48.208063,2022-01-06 12:03:48.209782,2022-01-06 12:03:48.279914,2022-01-06 12:03:50.174000,2022-01-06 12:03:50.242235,2022-01-06 12:03:50.243214,2022-01-06 12:03:50.305143,2022-01-06 12:03:50.330510,2022-01-06 12:03:50.331592,2022-01-06 12:03:50.395826,0,0
1-61d6d070-fd9ff2409b5bbb10570c3f36,2022-01-06 12:20:16.633000,2022-01-06 12:20:16.650000,2022-01-06 12:20:16.660705,2022-01-06 12:20:16.661291,2022-01-06 12:20:16.662266,2022-01-06 12:20:16.731121,2022-01-06 12:20:18.171000,2022-01-06 12:20:18.252803,2022-01-06 12:20:18.253851,2022-01-06 12:20:18.271410,2022-01-06 12:20:18.295148,2022-01-06 12:20:18.296328,2022-01-06 12:20:18.325225,0,0
1-61d6cd83-7684df302006eee74d707870,2022-01-06 12:07:47.694000,2022-01-06 12:07:47.712000,2022-01-06 12:07:47.721608,2022-01-06 12:07:47.722168,2022-01-06 12:07:47.723145,2022-01-06 12:07:47.796773,2022-01-06 12:07:48.800000,2022-01-06 12:07:48.873379,2022-01-06 12:07:48.874417,2022-01-06 12:07:48.946850,2022-01-06 12:07:48.971376,2022-01-06 12:07:48.972412,2022-01-06 12:07:49.034420,0,0
1-61d6ccf7-f4d31f8378d8b3fab2925778,2022-01-06 12:05:28.063000,2022-01-06 12:05:28.082000,2022-01-06 12:05:28.092573,2022-01-06 12:05:28.093173,2022-01-06 12:05:28.094191,2022-01-06 12:05:28.195765,2022-01-06 12:05:28.961000,2022-01-06 12:05:29.030652,2022-01-06 12:05:29.031642,2022-01-06 12:05:29.047908,2022-01-06 12:05:29.071658,2022-01-06 12:05:29.072689,2022-01-06 12:05:29.100075,0,0
1-61d6cefe-40978d1132bbd81365229427,2022-01-06 12:14:07.469000,2022-01-06 12:14:07.486000,2022-01-06 12:14:07.497346,2022-01-06 12:14:07.498022,2022-01-06 12:14:07.498996,2022-01-06 12:14:07.570837,2022-01-06 12:14:08.345000,2022-01-06 12:14:08.418763,2022-01-06 12:14:08.419774,2022-01-06 12:14:08.439223,2022-01-06 12:14:08.462223,2022-01-06 12:14:08.463169,2022-01-06 12:14:08.491874,0,0
1-61d6d0e8-5e2533c6ffd642e956f4c054,2022-01-06 12:22:16.906000,2022-01-06 12:22:16.921000,2022-01-06 12:22:16.929124,2022-01-06 12:22:16.929656,2022-01-06 12:22:16.930713,2022-01-06 12:22:17.002339,2022-01-06 12:22:18.153000,2022-01-06 12:22:18.213606,2022-01-06 12:22:18.214523,2022-01-06 12:22:18.237194,2022-01-06 12:22:18.261923,2022-01-06 12:22:18.262925,2022-01-06 12:22:18.289552,0,0
1-61d6cd8d-cf11f38c00a8b077ca979374,2022-01-06 12:07:57.893000,2022-01-06 12:07:57.908000,2022-01-06 12:07:57.918980,2022-01-06 12:07:57.919531,2022-01-06 12:07:57.920480,2022-01-06 12:07:58.001209,2022-01-06 12:07:59.352000,2022-01-06 12:07:59.414499,2022-01-06 12:07:59.415494,2022-01-06 12:07:59.433523,2022-01-06 12:07:59.458161,2022-01-06 12:07:59.459094,2022-01-06 12:07:59.487150,0,0
1-61d6cca2-6b8a4b36edefac17ecf17b6f,2022-01-06 12:04:03.155000,2022-01-06 12:04:03.170000,2022-01-06 12:04:03.181815,2022-01-06 12:04:03.182493,2022-01-06 12:04:03.184149,2022-01-06 12:04:03.262692,2022-01-06 12:04:04.101000,2022-01-06 12:04:04.167761,2022-01-06 12:04:04.168747,2022-01-06 12:04:04.191959,2022-01-06 12:04:04.217384,2022-01-06 12:04:04.218470,2022-01-06 12:04:04.246642,0,0
1-61d6d0a2-3072235bbfda2d0ef122c50a,2022-01-06 12:21:06.991000,2022-01-06 12:21:07.007000,2022-01-06 12:21:07.020045,2022-01-06 12:21:07.020763,2022-01-06 12:21:07.021795,2022-01-06 12:21:07.125065,2022-01-06 12:21:08.158000,2022-01-06 12:21:08.237493,2022-01-06 12:21:08.238517,2022-01-06 12:21:08.257164,2022-01-06 12:21:08.281741,2022-01-06 12:21:08.282744,2022-01-06 12:21:08.311732,0,0
1-61d6cc70-85e00fd3f786b7ab51d4e7f7,2022-01-06 12:03:13.213000,2022-01-06 12:03:13.229000,2022-01-06 12:03:13.239735,2022-01-06 12:03:13.240537,2022-01-06 12:03:13.243130,2022-01-06 12:03:13.373959,2022-01-06 12:03:14.385000,2022-01-06 12:03:14.457537,2022-01-06 12:03:14.458646,2022-01-06 12:03:14.479144,2022-01-06 12:03:14.502781,2022-01-06 12:03:14.503933,2022-01-06 12:03:14.530410,0,0
1-61d6cc5c-1f148aeda486792485da1609,2022-01-06 12:02:53.030000,2022-01-06 12:02:53.049000,2022-01-06 12:02:53.062582,2022-01-06 12:02:53.063556,2022-01-06 12:02:53.065997,2022-01-06 12:02:53.140453,2022-01-06 12:02:54.226000,2022-01-06 12:02:54.299255,2022-01-06 12:02:54.300317,2022-01-06 12:02:54.322816,2022-01-06 12:02:54.346236,2022-01-06 12:02:54.347438,2022-01-06 12:02:54.371889,0,0
1-61d6ccc0-6bd44d50e3f501f02469135b,2022-01-06 12:04:32.912000,2022-01-06 12:04:32.933000,2022-01-06 12:04:32.945801,2022-01-06 12:04:32.946408,2022-01-06 12:04:32.947771,2022-01-06 12:04:33.022668,2022-01-06 12:04:33.884000,2022-01-06 12:04:33.950443,2022-01-06 12:04:33.951909,2022-01-06 12:04:33.969415,2022-01-06 12:04:33.992919,2022-01-06 12:04:33.994090,2022-01-06 12:04:34.022448,0,0
1-61d6cd2e-48ca475c1fea3ec66b420f50,2022-01-06 12:06:22.995000,2022-01-06 12:06:23.010000,2022-01-06 12:06:23.019771,2022-01-06 12:06:23.020380,2022-01-06 12:06:23.021328,2022-01-06 12:06:23.088889,2022-01-06 12:06:24.068000,2022-01-06 12:06:24.195468,2022-01-06 12:06:24.196411,2022-01-06 12:06:24.211646,2022-01-06 12:06:24.236097,2022-01-06 12:06:24.237111,2022-01-06 12:06:24.267741,0,0
1-61d6d133-aa6fec13b291c30f921e44f9,2022-01-06 12:23:31.565000,2022-01-06 12:23:31.579000,2022-01-06 12:23:31.589644,2022-01-06 12:23:31.590242,2022-01-06 12:23:31.591195,2022-01-06 12:23:31.704814,2022-01-06 12:23:32.630000,2022-01-06 12:23:32.699767,2022-01-06 12:23:32.700700,2022-01-06 12:23:32.720963,2022-01-06 12:23:32.747144,2022-01-06 12:23:32.748291,2022-01-06 12:23:32.773006,0,0
1-61d6ce69-3abe6c29c31f32f6f5df7534,2022-01-06 12:11:37.646000,2022-01-06 12:11:37.663000,2022-01-06 12:11:37.675551,2022-01-06 12:11:37.676498,2022-01-06 12:11:37.678158,2022-01-06 12:11:37.752620,2022-01-06 12:11:39.068000,2022-01-06 12:11:39.144423,2022-01-06 12:11:39.145345,2022-01-06 12:11:39.165266,2022-01-06 12:11:39.189233,2022-01-06 12:11:39.190267,2022-01-06 12:11:39.235119,0,0
1-61d6ceef-3f9afd21b117e48be0c4b4c8,2022-01-06 12:13:52.480000,2022-01-06 12:13:52.494000,2022-01-06 12:13:52.504570,2022-01-06 12:13:52.505150,2022-01-06 12:13:52.506131,2022-01-06 12:13:52.620071,2022-01-06 12:13:53.902000,2022-01-06 12:13:53.978229,2022-01-06 12:13:53.979200,2022-01-06 12:13:53.997644,2022-01-06 12:13:54.021014,2022-01-06 12:13:54.021977,2022-01-06 12:13:54.072811,0,0
1-61d6cdce-a4c6a825a6e9ea10cbc5659e,2022-01-06 12:09:02.813000,2022-01-06 12:09:02.830000,2022-01-06 12:09:02.838249,2022-01-06 12:09:02.838792,2022-01-06 12:09:02.839758,2022-01-06 12:09:02.909865,2022-01-06 12:09:04.480000,2022-01-06 12:09:04.543546,2022-01-06 12:09:04.544546,2022-01-06 12:09:04.568051,2022-01-06 12:09:04.592648,2022-01-06 12:09:04.593667,2022-01-06 12:09:04.619845,0,0
1-61d6cd60-c16b26726369db1112625aa9,2022-01-06 12:07:12.716000,2022-01-06 12:07:12.733000,2022-01-06 12:07:12.741133,2022-01-06 12:07:12.741700,2022-01-06 12:07:12.742681,2022-01-06 12:07:12.810665,2022-01-06 12:07:14.010000,2022-01-06 12:07:14.081069,2022-01-06 12:07:14.082023,2022-01-06 12:07:14.102791,2022-01-06 12:07:14.127556,2022-01-06 12:07:14.128569,2022-01-06 12:07:14.165768,0,0
