trace_id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,f1_cold_start,f2_cold_start
2bd8b2fcecc1691b51f51754241819c5,2022-01-06 12:46:11.859000,2022-01-06 12:46:11.871000,2022-01-06 12:46:11.976000,2022-01-06 12:46:11.982000,2022-01-06 12:46:11.983000,2022-01-06 12:46:12.103369,2022-01-06 12:46:12.554000,2022-01-06 12:46:12.556000,2022-01-06 12:46:12.568000,2022-01-06 12:46:12.614934,2022-01-06 12:46:12.659000,2022-01-06 12:46:12.660000,2022-01-06 12:46:12.671723,0,0
98bb50d8c59dfa5cb7407211b6500315,2022-01-06 12:46:12.865000,2022-01-06 12:46:12.872000,2022-01-06 12:46:12.890000,2022-01-06 12:46:12.894000,2022-01-06 12:46:12.896000,2022-01-06 12:46:12.915650,2022-01-06 12:46:13.204000,2022-01-06 12:46:13.206000,2022-01-06 12:46:13.212000,2022-01-06 12:46:13.260167,2022-01-06 12:46:13.305000,2022-01-06 12:46:13.306000,2022-01-06 12:46:13.315177,0,0
4323a01c44a9593833db8f20be05f643,2022-01-06 12:46:13.851000,2022-01-06 12:46:13.872000,2022-01-06 12:46:13.888000,2022-01-06 12:46:13.894000,2022-01-06 12:46:13.895000,2022-01-06 12:46:13.922292,2022-01-06 12:46:14.421000,2022-01-06 12:46:14.423000,2022-01-06 12:46:14.429000,2022-01-06 12:46:14.484650,2022-01-06 12:46:14.541000,2022-01-06 12:46:14.542000,2022-01-06 12:46:14.550763,0,0
cafaf8589192f585268e1134d55ae9b1,2022-01-06 12:46:14.860000,2022-01-06 12:46:14.875000,2022-01-06 12:46:14.966000,2022-01-06 12:46:14.971000,2022-01-06 12:46:14.972000,2022-01-06 12:46:14.988674,2022-01-06 12:46:15.470000,2022-01-06 12:46:15.472000,2022-01-06 12:46:15.479000,2022-01-06 12:46:15.522913,2022-01-06 12:46:15.580000,2022-01-06 12:46:15.581000,2022-01-06 12:46:15.599759,0,0
c9da86e6580876fbb4df8ddb27036013,2022-01-06 12:46:15.863000,2022-01-06 12:46:15.885000,2022-01-06 12:46:15.893000,2022-01-06 12:46:15.899000,2022-01-06 12:46:15.900000,2022-01-06 12:46:15.920322,2022-01-06 12:46:16.073000,2022-01-06 12:46:16.075000,2022-01-06 12:46:16.081000,2022-01-06 12:46:16.120770,2022-01-06 12:46:16.168000,2022-01-06 12:46:16.169000,2022-01-06 12:46:16.178718,0,0
cf1e98567ab91a92f1aedd1cefb98670,2022-01-06 12:45:04.577000,2022-01-06 12:45:05.509000,2022-01-06 12:45:05.867000,2022-01-06 12:45:05.871000,2022-01-06 12:45:05.965000,2022-01-06 12:45:06.019456,2022-01-06 12:45:06.770000,2022-01-06 12:45:06.870000,2022-01-06 12:45:07.009000,2022-01-06 12:45:07.018954,2022-01-06 12:45:07.461000,2022-01-06 12:45:07.462000,2022-01-06 12:45:07.473410,1,1
474390f876edef0aaa58c3d8233b60a6,2022-01-06 12:45:05.857000,2022-01-06 12:45:06.239000,2022-01-06 12:45:06.273000,2022-01-06 12:45:06.277000,2022-01-06 12:45:06.278000,2022-01-06 12:45:06.293812,2022-01-06 12:45:06.780000,2022-01-06 12:45:06.854000,2022-01-06 12:45:06.989000,2022-01-06 12:45:06.995907,2022-01-06 12:45:07.429000,2022-01-06 12:45:07.430000,2022-01-06 12:45:07.439241,0,0
e9835d27c341c9fbb51777f34b87ad5c,2022-01-06 12:45:05.857000,2022-01-06 12:45:06.289000,2022-01-06 12:45:06.297000,2022-01-06 12:45:06.301000,2022-01-06 12:45:06.302000,2022-01-06 12:45:06.340015,2022-01-06 12:45:06.778000,2022-01-06 12:45:06.892000,2022-01-06 12:45:06.978000,2022-01-06 12:45:06.986064,2022-01-06 12:45:07.322000,2022-01-06 12:45:07.323000,2022-01-06 12:45:07.333705,0,0
b22dad0384a73c91e5e748775963df19,2022-01-06 12:45:06.435000,2022-01-06 12:45:06.452000,2022-01-06 12:45:07.047000,2022-01-06 12:45:07.051000,2022-01-06 12:45:07.052000,2022-01-06 12:45:07.079346,2022-01-06 12:45:07.483000,2022-01-06 12:45:07.486000,2022-01-06 12:45:07.492000,2022-01-06 12:45:07.520503,2022-01-06 12:45:07.592000,2022-01-06 12:45:07.594000,2022-01-06 12:45:07.603867,0,0
6fe5c17995bbd5d2a89434dc4ccc314d,2022-01-06 12:45:06.668000,2022-01-06 12:45:06.684000,2022-01-06 12:45:07.272000,2022-01-06 12:45:07.285000,2022-01-06 12:45:07.286000,2022-01-06 12:45:07.300506,2022-01-06 12:45:07.484000,2022-01-06 12:45:07.485000,2022-01-06 12:45:07.491000,2022-01-06 12:45:07.504600,2022-01-06 12:45:07.557000,2022-01-06 12:45:07.558000,2022-01-06 12:45:07.567977,0,0
