metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
vus,1641491985,10.000000,,,,,,,,,,,,,,,
vus_max,1641491985,70.000000,,,,,,,,,,,,,,,
vus,1641491986,10.000000,,,,,,,,,,,,,,,
vus_max,1641491986,70.000000,,,,,,,,,,,,,,,
vus,1641491987,10.000000,,,,,,,,,,,,,,,
vus_max,1641491987,70.000000,,,,,,,,,,,,,,,
http_reqs,1641491988,1.000000,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-0ce67352c3f8d2416665ebaa95ab1ced.jpg,HTTP/1.1,burst_stage_1,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-0ce67352c3f8d2416665ebaa95ab1ced.jpg,trace_header=00-0ce67352c3f8d2416665ebaa95ab1ced-cdce52c98d7b7ad9-01
http_req_duration,1641491988,3104.307100,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-0ce67352c3f8d2416665ebaa95ab1ced.jpg,HTTP/1.1,burst_stage_1,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-0ce67352c3f8d2416665ebaa95ab1ced.jpg,trace_header=00-0ce67352c3f8d2416665ebaa95ab1ced-cdce52c98d7b7ad9-01
http_req_blocked,1641491988,579.422900,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-0ce67352c3f8d2416665ebaa95ab1ced.jpg,HTTP/1.1,burst_stage_1,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-0ce67352c3f8d2416665ebaa95ab1ced.jpg,trace_header=00-0ce67352c3f8d2416665ebaa95ab1ced-cdce52c98d7b7ad9-01
http_req_connecting,1641491988,100.607200,,,,true,,POST,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-0ce67352c3f8d2416665ebaa95ab1ced.jpg,HTTP/1.1,burst_stage_1,,200,,tls1.2,https://thumbnail-generator-apim.azure-api.net/thumbnail-generator-function-app/upload/img-0ce67352c3f8d2416665ebaa95ab1ced.jpg,trace_header=00-0ce67352c3f8d2416665ebaa95ab1ced-cdce52c98d7b7ad9-01
